"auth_profile","business_application","created_by","created_date","DATABASE_CREDENTIAL_ID","DESCRIPTION","DISPLAY_NAME","ENDPOINT_URL","ENVIRONMENT","environment_ID","hostname","ID","ID_1","ID_2","ID_3","INFRASTRUCTURE","IS_ACTIVE","is_deleted","Lat","Lat_1","location","Long","Long_1","mapping_source_server_ID","modified_by","modified_date","move_group_id","OPERATING_SYSTEM","operating_system_ID","OPERATING_SYSTEMS_IMAGE","output_path","PLATFORM","platform_ID","PLATFORM_IMAGE","reparse_requested","report_run_date","report_run_end_date","server_ip","storagetemplate_ID","type","validation_status_ID"
2,"None","atasphereuser","2019-11-22",null,"null","AWS EC2","null","Other",null,"centossrc",35,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-25",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.54",null,"S",1
1,"None","atasphereuser","2019-10-24",null,"null","AWS EC2","null","Other",null,"ANIETA16SRVRE.WORKGROUP",14,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.196\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.196",null,"T",1
1,"None","atasphereuser","2019-10-23",null,"null","AWS EC2","null","Other",null,"ANIETASRVR.WORKGROUP",10,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,9,"atasphereuser","2019-10-24",null,"Windows",2,"/images/Windows.png","\\192.168.113.98\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.98",null,"T",1
2,"None","atasphereuser","2019-11-22",null,"null","AWS EC2","null","Other",null,"targetmigration",34,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-22",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.126",null,"T",1
7,"None","atasphereuser","2019-11-28",null,"null","AWS EC2","null","Other",null,"ATS2SERVER7.WORKGROUP",54,2,10,null,3,1,0,NaN,NaN,"",NaN,NaN,null,"","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.224\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.224",null,"T",1
12,"None","atasphereuser","2019-12-09",null,"null","AWS EC2","null","Other",null,"ATS2SERVER16.cctest.com",61,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-12-09",null,"Windows",2,"/images/Windows.png","\\192.168.113.14\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.14",null,"S",1
10,"None","atasphereuser","2020-01-29",null,"null","AWS EC2","null","Other",null,"ip-192-168-113-43.cctest.com",74,1,10,null,3,1,0,NaN,NaN,"",NaN,NaN,73,"atasphereuser","2020-01-29",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.43",null,"T",1
5,"None","atasphereuser","2019-10-24",null,"null","Microsoft Azure","null","Other",null,"Anieta2k16Src.WORKGROUP",16,2,12,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Windows",2,"/images/Windows.png","\\192.168.21.60\C$\atatemp\ATAVisionTemp\ATADataOutput\","AZURE",12,"/images/AZURE.png",0,"0001-01-01","null","192.168.21.60",null,"S",3
22,"None","atasphereuser","2020-01-27",null,"null","AWS EC2","null","Other",null,"",72,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2020-01-27",null,"Windows",2,"/images/Windows.png","\\192.168.113.226\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.226",null,"S",3
12,"CRM","atasphereuser","2019-12-20",null,"Testing","AWS EC2","null","QA",1,"ATS2SERVER15.cctest.com",67,2,10,1,3,1,0,NaN,NaN,"",NaN,NaN,null,"","2020-01-15",null,"Windows",2,"/images/Windows.png","\\192.168.113.9\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.9",null,"S",3
5,"None","atasphereuser","2019-10-23",null,"null","Microsoft Azure","null","Other",null,"Anieta2k16Src.WORKGROUP",9,2,12,null,3,1,1,NaN,NaN,"",NaN,NaN,0,"atasphereuser","2019-10-24",null,"Windows",2,"/images/Windows.png","\\192.168.21.60\C$\atatemp\ATAVisionTemp\ATADataOutput\","AZURE",12,"/images/AZURE.png",0,"0001-01-01","null","192.168.21.60",null,"S",1
12,"CRM","atasphereuser","2019-12-19",null,"Testing","AWS EC2","null","QA",1,"ATS2SERVER15.cctest.com",63,2,10,1,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-12-19",null,"Windows",2,"/images/Windows.png","\\192.168.113.9\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.9",null,"S",1
8,"None","atasphereuser","2019-11-27",null,"null","AWS EC2","null","Other",null,"TEST2.WORKGROUP",45,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Windows",2,"/images/Windows.png","\\192.168.113.222\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.222",null,"S",1
12,"CRM","atasphereuser","2019-12-19",null,"Testing","AWS EC2","null","QA",1,"ATS2SERVER15.cctest.com",64,2,10,1,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-12-20",null,"Windows",2,"/images/Windows.png","\\192.168.113.9\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.9",null,"S",3
5,"CRM","atasphereuser","2019-11-12",null,"null","Microsoft Azure","null","Other",null,"",17,1,12,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-25",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AZURE",12,"/images/AZURE.png",0,"0001-01-01","null","10.10.10.10",null,"S",3
2,"None","atasphereuser","2019-11-27",null,"null","AWS EC2","null","Other",null,"ip-192-168-113-91.cctest.com",44,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.91",null,"S",1
1,"None","atasphereuser","2019-10-24",null,"null","AWS EC2","null","Other",null,"HGGHGGHGFG.WORKGROUP",15,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,16,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.49\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.49",null,"T",1
2,"None","atasphereuser","2019-11-22",null,"null","AWS EC2","null","Other",null,"centossrc",33,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-22",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.54",null,"S",1
3,"None","atasphereuser","2019-10-22",null,"null","Google Compute Engine","null","Other",null,"ANIETASANITY1.WORKGROUP",4,2,21,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Windows",2,"/images/Windows.png","\\192.168.111.119\C$\atatemp\ATAVisionTemp\ATADataOutput\","GOOGLE",21,"/images/GOOGLE.png",0,"0001-01-01","null","192.168.111.119",null,"S",1
3,"None","atasphereuser","2019-10-22",null,"null","Google Compute Engine","null","Other",null,"ANIETAVALCHECK.WORKGROUP",3,2,21,null,3,1,1,NaN,NaN,"",NaN,NaN,7,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.111.32\C$\atatemp\ATAVisionTemp\ATADataOutput\","GOOGLE",21,"/images/GOOGLE.png",0,"0001-01-01","null","192.168.111.32",null,"T",1
1,"None","atasphereuser","2019-10-23",null,"null","AWS EC2","null","Other",null,"ANIETA1016SRVR.WORKGROUP",8,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Windows",2,"/images/Windows.png","\\192.168.113.91\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.91",null,"S",2
9,"None","","2019-11-19",null,"null","AWS EC2","null","Other",null,"ATABASE-2012R2.WORKGROUP",22,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,21,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.38\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"2019-11-19","null","192.168.113.38",null,"T",1
9,"None","","2019-11-19",null,"null","AWS EC2","null","Other",null,"ATABASE-2012R2.WORKGROUP",20,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,19,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.67\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"2019-11-19","null","192.168.113.67",null,"T",1
2,"None","atasphereuser","2019-11-22",null,"null","AWS EC2","null","Other",null,"targetmigration",36,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,35,"atasphereuser","2019-11-28",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.126",null,"T",1
10,"None","atasphereuser","2019-11-28",null,"null","AWS EC2","null","Other",null,"ATS2SERVER2.WORKGROUP",47,1,10,null,3,1,0,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2020-01-28",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.74",null,"S",1
2,"None","atasphereuser","2019-11-27",null,"null","AWS EC2","null","Other",null,"ip-192-168-113-54.cctest.com",43,1,10,null,3,1,1,NaN,NaN,"",NaN,NaN,44,"atasphereuser","2019-11-28",null,"Linux",1,"/images/Linux.png","/tmp/atatemp/ATAVisionTemp/atadataoutput/","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.54",null,"T",1
1,"CRM","atasphereuser","2019-10-23",null,"null","AWS EC2","null","Other",null,"ANIETADISCSRVR.WORKGROUP",7,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-27",null,"Windows",2,"/images/Windows.png","\\192.168.113.162\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.162",null,"S",2
7,"None","atasphereuser","2019-11-28",null,"null","AWS EC2","null","Other",null,"ATS2SERVER8.WORKGROUP",55,2,10,null,3,1,0,NaN,NaN,"",NaN,NaN,null,"","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.207\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.207",null,"T",1
12,"None","atasphereuser","2019-12-09",null,"null","AWS EC2","null","Other",null,"ATS2SERVER15.cctest.com",62,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-12-09",null,"Windows",2,"/images/Windows.png","\\192.168.113.9\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.9",null,"S",1
1,"None","atasphereuser","2019-10-22",null,"null","AWS EC2","null","Other",null,"ANIETASRVRFORMI.WORKGROUP",6,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,4,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.169\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.169",null,"T",1
7,"None","atasphereuser","2019-11-28",null,"null","AWS EC2","null","Other",null,"",57,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.36\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.36",null,"S",2
12,"CRM","atasphereuser","2019-12-20",null,"Testing","AWS EC2","null","QA",1,"ATS2SERVER15.cctest.com",65,2,10,1,3,1,1,NaN,NaN,"",NaN,NaN,null,"atasphereuser","2019-12-20",null,"Windows",2,"/images/Windows.png","\\192.168.113.9\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"0001-01-01","null","192.168.113.9",null,"S",1
9,"None","","2019-11-19",null,"null","AWS EC2","null","Other",null,"ATABASE-2012R2.WORKGROUP",25,2,10,null,3,1,1,NaN,NaN,"",NaN,NaN,21,"atasphereuser","2019-11-28",null,"Windows",2,"/images/Windows.png","\\192.168.113.36\C$\atatemp\ATAVisionTemp\ATADataOutput\","AMAZON",10,"/images/AMAZON.png",0,"2019-11-19","null","192.168.113.36",null,"T",1
